coords,color
"40.371766,-111.974804",green
"40.371766,-111.974804",green
"40.371782,-111.974795",green
,red
"40.371809,-111.974781",red
,green
"40.371839,-111.974767",green
"40.371867,-111.974756",green
"40.371892,-111.974744",green
"40.371917,-111.974736",green
"40.371942,-111.974727",green
,green
"40.371942,-111.974727",green
"40.371961,-111.974719",green
"40.371990,-111.974708",green
,green
"40.372019,-111.974696",green
"40.372051,-111.974687",green
"40.372090,-111.974681",green
"40.372130,-111.974680",green
"40.372169,-111.974680",green
"40.372210,-111.974680",green
"40.372240,-111.974678",green
"40.372268,-111.974675",green
"40.372295,-111.974671",green
"40.372325,-111.974664",green
"40.372362,-111.974653",green
"40.372395,-111.974642",green
"40.372427,-111.974630",green
,yellow
"40.372458,-111.974621",yellow
"40.372487,-111.974611",yellow
"40.372516,-111.974602",yellow
,green
"40.372549,-111.974589",green
,yellow
"40.372581,-111.974580",yellow
,green
"40.372611,-111.974573",green
"40.372642,-111.974567",green
"40.372674,-111.974561",green
"40.372705,-111.974554",green
"40.372734,-111.974546",green
"40.372771,-111.974542",green
"40.372805,-111.974536",green
"40.372838,-111.974531",green
"40.372869,-111.974527",green
"40.372896,-111.974522",green
"40.372924,-111.974515",green
"40.372953,-111.974507",green
"40.372978,-111.974498",green
"40.373004,-111.974489",green
"40.373028,-111.974481",green
,yellow
"40.373055,-111.974474",yellow
,green
"40.373083,-111.974465",green
"40.373113,-111.974454",green
"40.373138,-111.974445",green
"40.373164,-111.974438",green
"40.373188,-111.974431",green
"40.373206,-111.974419",green
,yellow
"40.373230,-111.974406",yellow
"40.373253,-111.974396",yellow
"40.373280,-111.974384",yellow
"40.373309,-111.974376",yellow
"40.373335,-111.974369",yellow
,green
"40.373359,-111.974364",green
"40.373376,-111.974361",green
"40.373380,-111.974363",green
,orange
"40.373371,-111.974365",orange
,purple
"40.373359,-111.974371",purple
"40.373339,-111.974376",purple
,green
"40.373315,-111.974384",green
"40.373288,-111.974394",green
"40.373260,-111.974403",green
"40.373233,-111.974412",green
"40.373206,-111.974422",green
,green
"40.373206,-111.974422",green
"40.373179,-111.974432",green
"40.373153,-111.974442",green
,green
"40.373123,-111.974450",green
"40.373096,-111.974460",green
"40.373070,-111.974472",green
"40.373043,-111.974487",green
"40.373015,-111.974504",green
"40.372985,-111.974514",green
"40.372953,-111.974522",green
"40.372923,-111.974530",green
"40.372893,-111.974534",green
,orange
"40.372864,-111.974540",orange
"40.372835,-111.974548",orange
"40.372802,-111.974551",orange
"40.372770,-111.974555",orange
"40.372739,-111.974561",orange
"40.372709,-111.974568",orange
,green
"40.372677,-111.974573",green
"40.372645,-111.974577",green
"40.372613,-111.974583",green
"40.372580,-111.974594",green
"40.372544,-111.974601",green
"40.372509,-111.974611",green
"40.372471,-111.974619",green
"40.372438,-111.974629",green
"40.372413,-111.974645",green
"40.372388,-111.974661",green
,yellow
"40.372360,-111.974671",yellow
"40.372330,-111.974674",yellow
,green
"40.372299,-111.974679",green
,orange
"40.372262,-111.974680",orange
"40.372229,-111.974686",orange
"40.372197,-111.974687",orange
"40.372165,-111.974685",orange
"40.372137,-111.974690",orange
"40.372108,-111.974697",orange
"40.372080,-111.974706",orange
,green
"40.372063,-111.974725",green
,yellow
"40.372038,-111.974745",yellow
,red
"40.372011,-111.974760",red
"40.371985,-111.974771",red
,yellow
"40.371956,-111.974781",yellow
,green
"40.371924,-111.974780",green
"40.371896,-111.974775",green
,orange
"40.371874,-111.974785",orange
"40.371850,-111.974799",orange
,green
"40.371825,-111.974814",green
,yellow
"40.371797,-111.974830",yellow
"40.371771,-111.974853",yellow
"40.371746,-111.974885",yellow
,red
"40.371724,-111.974913",red
"40.371702,-111.974938",red
"40.371674,-111.974965",red
"40.371645,-111.974985",red
"40.371616,-111.975004",red
,yellow
"40.371584,-111.975020",yellow
,green
"40.371551,-111.975032",green
,yellow
"40.371518,-111.975044",yellow
,green
"40.371486,-111.975052",green
"40.371455,-111.975056",green
"40.371426,-111.975063",green
,orange
"40.371399,-111.975075",orange
,green
"40.371374,-111.975086",green
"40.371343,-111.975101",green
"40.371311,-111.975118",green
"40.371282,-111.975130",green
"40.371252,-111.975147",green
,yellow
"40.371223,-111.975160",yellow
,green
"40.371194,-111.975172",green
"40.371163,-111.975187",green
"40.371135,-111.975200",green
"40.371103,-111.975211",green
"40.371074,-111.975224",green
"40.371045,-111.975239",green
"40.371020,-111.975259",green
,yellow
"40.370996,-111.975273",yellow
"40.370966,-111.975288",yellow
"40.370938,-111.975307",yellow
"40.370908,-111.975323",yellow
"40.370878,-111.975335",yellow
"40.370851,-111.975352",yellow
,green
"40.370826,-111.975366",green
"40.370799,-111.975384",green
,yellow
"40.370772,-111.975401",yellow
"40.370743,-111.975420",yellow
"40.370718,-111.975436",yellow
"40.370691,-111.975453",yellow
"40.370669,-111.975475",yellow
"40.370640,-111.975496",yellow
"40.370613,-111.975510",yellow
"40.370585,-111.975521",yellow
,green
"40.370556,-111.975536",green
"40.370529,-111.975554",green
"40.370496,-111.975567",green
"40.370465,-111.975579",green
"40.370437,-111.975591",green
"40.370411,-111.975600",green
"40.370379,-111.975610",green
"40.370344,-111.975625",green
"40.370311,-111.975643",green
"40.370279,-111.975657",green
"40.370249,-111.975670",green
"40.370219,-111.975682",green
"40.370190,-111.975694",green
"40.370164,-111.975709",green
"40.370138,-111.975730",green
,yellow
"40.370108,-111.975750",yellow
"40.370079,-111.975770",yellow
"40.370053,-111.975789",yellow
"40.370027,-111.975806",yellow
"40.370000,-111.975824",yellow
"40.369973,-111.975846",yellow
"40.369947,-111.975866",yellow
"40.369918,-111.975884",yellow
"40.369888,-111.975900",yellow
"40.369857,-111.975911",yellow
,green
"40.369829,-111.975921",green
"40.369801,-111.975932",green
"40.369775,-111.975940",green
"40.369745,-111.975951",green
"40.369716,-111.975964",green
"40.369690,-111.975976",green
"40.369660,-111.975987",green
"40.369631,-111.976001",green
"40.369606,-111.976012",green
"40.369575,-111.976025",green
"40.369547,-111.976041",green
"40.369514,-111.976053",green
"40.369483,-111.976066",green
"40.369453,-111.976077",green
"40.369424,-111.976094",green
"40.369395,-111.976116",green
"40.369366,-111.976136",green
,yellow
"40.369336,-111.976153",yellow
"40.369306,-111.976167",yellow
,green
"40.369278,-111.976181",green
"40.369252,-111.976200",green
"40.369228,-111.976220",green
,yellow
"40.369201,-111.976236",yellow
"40.369176,-111.976254",yellow
"40.369153,-111.976272",yellow
"40.369129,-111.976289",yellow
"40.369107,-111.976304",yellow
"40.369080,-111.976315",yellow
,green
"40.369050,-111.976324",green
,orange
"40.369026,-111.976336",orange
,green
"40.368999,-111.976346",green
"40.368970,-111.976363",green
"40.368943,-111.976374",green
"40.368913,-111.976385",green
"40.368884,-111.976394",green
"40.368855,-111.976403",green
,orange
"40.368826,-111.976414",orange
,green
"40.368798,-111.976425",green
"40.368773,-111.976432",green
"40.368752,-111.976438",green
,orange
"40.368730,-111.976445",orange
"40.368709,-111.976457",orange
,green
"40.368689,-111.976468",green
"40.368670,-111.976475",green
,green
,green
#VALUE!,green
"40.368649,-111.976497",green
,yellow
"40.368648,-111.976506",yellow
,red
"40.368648,-111.976538",red
"40.368649,-111.976575",red
,green
"40.368653,-111.976613",green
"40.368657,-111.976655",green
"40.368658,-111.976698",green
"40.368656,-111.976738",green
"40.368658,-111.976775",green
,green
"40.368658,-111.976775",green
"40.368661,-111.976815",green
"40.368665,-111.976856",green
,green
"40.368661,-111.976896",green
"40.368660,-111.976932",green
"40.368662,-111.976973",green
"40.368667,-111.977014",green
"40.368677,-111.977054",green
"40.368681,-111.977092",green
"40.368683,-111.977132",green
"40.368687,-111.977171",green
"40.368689,-111.977210",green
"40.368699,-111.977243",green
"40.368698,-111.977272",green
"40.368691,-111.977303",green
,orange
"40.368690,-111.977338",orange
"40.368687,-111.977375",orange
"40.368684,-111.977412",orange
"40.368681,-111.977451",orange
"40.368675,-111.977486",orange
"40.368668,-111.977518",orange
"40.368663,-111.977550",orange
"40.368659,-111.977584",orange
"40.368653,-111.977619",orange
"40.368647,-111.977655",orange
"40.368636,-111.977691",orange
"40.368627,-111.977724",orange
,purple
"40.368616,-111.977756",purple
"40.368607,-111.977789",purple
"40.368602,-111.977826",purple
,orange
"40.368598,-111.977861",orange
,green
"40.368590,-111.977899",green
,orange
"40.368577,-111.977936",orange
"40.368564,-111.977974",orange
,purple
"40.368555,-111.978013",purple
"40.368547,-111.978055",purple
,orange
"40.368541,-111.978094",orange
"40.368531,-111.978129",orange
"40.368518,-111.978164",orange
"40.368506,-111.978202",orange
,purple
"40.368497,-111.978241",purple
,orange
"40.368485,-111.978278",orange
"40.368472,-111.978319",orange
"40.368459,-111.978358",orange
"40.368447,-111.978398",orange
"40.368436,-111.978434",orange
"40.368428,-111.978470",orange
"40.368420,-111.978508",orange
"40.368417,-111.978554",orange
,green
"40.368411,-111.978592",green
"40.368402,-111.978629",green
"40.368396,-111.978661",green
"40.368395,-111.978697",green
"40.368398,-111.978734",green
,yellow
"40.368400,-111.978772",yellow
,red
"40.368402,-111.978807",red
,yellow
"40.368407,-111.978838",yellow
,red
"40.368413,-111.978871",red
"40.368418,-111.978905",red
"40.368419,-111.978944",red
"40.368420,-111.978981",red
,yellow
"40.368419,-111.979023",yellow
"40.368418,-111.979063",yellow
"40.368419,-111.979106",yellow
"40.368420,-111.979151",yellow
"40.368421,-111.979195",yellow
"40.368419,-111.979235",yellow
"40.368413,-111.979275",yellow
,green
"40.368409,-111.979311",green
"40.368403,-111.979347",green
"40.368394,-111.979383",green
,orange
"40.368384,-111.979415",orange
"40.368375,-111.979446",orange
"40.368366,-111.979476",orange
"40.368359,-111.979510",orange
"40.368355,-111.979545",orange
"40.368346,-111.979581",orange
"40.368332,-111.979612",orange
"40.368319,-111.979645",orange
,purple
"40.368310,-111.979679",purple
"40.368299,-111.979716",purple
,orange
"40.368289,-111.979750",orange
"40.368285,-111.979788",orange
"40.368284,-111.979823",orange
,green
"40.368286,-111.979858",green
,yellow
"40.368291,-111.979890",yellow
,red
"40.368296,-111.979926",red
"40.368301,-111.979963",red
"40.368310,-111.980002",red
"40.368319,-111.980040",red
"40.368331,-111.980079",red
"40.368344,-111.980115",red
"40.368363,-111.980153",red
"40.368375,-111.980189",red
"40.368385,-111.980222",red
"40.368392,-111.980258",red
"40.368400,-111.980290",red
"40.368409,-111.980322",red
"40.368415,-111.980349",red
"40.368426,-111.980384",red
"40.368438,-111.980421",red
"40.368451,-111.980456",red
"40.368462,-111.980488",red
"40.368472,-111.980520",red
"40.368483,-111.980558",red
"40.368494,-111.980601",red
"40.368505,-111.980638",red
"40.368517,-111.980671",red
"40.368520,-111.980700",red
"40.368526,-111.980732",red
"40.368530,-111.980764",red
,yellow
"40.368535,-111.980796",yellow
"40.368548,-111.980829",yellow
,red
"40.368560,-111.980859",red
"40.368572,-111.980891",red
"40.368585,-111.980924",red
"40.368599,-111.980951",red
"40.368616,-111.980978",red
"40.368630,-111.981008",red
"40.368642,-111.981040",red
"40.368656,-111.981068",red
"40.368676,-111.981093",red
"40.368700,-111.981111",red
"40.368732,-111.981129",red
,green
"40.368756,-111.981142",green
"40.368782,-111.981158",green
"40.368809,-111.981176",green
"40.368834,-111.981197",green
"40.368858,-111.981219",green
,green
"40.368858,-111.981219",green
"40.368875,-111.981240",green
"40.368892,-111.981265",green
,green
"40.368910,-111.981291",green
"40.368924,-111.981319",green
"40.368938,-111.981349",green
"40.368948,-111.981382",green
"40.368954,-111.981416",green
"40.368962,-111.981444",green
"40.368976,-111.981468",green
"40.368991,-111.981493",green
"40.369007,-111.981516",green
,yellow
"40.369026,-111.981541",yellow
"40.369045,-111.981564",yellow
"40.369065,-111.981588",yellow
"40.369084,-111.981610",yellow
"40.369103,-111.981630",yellow
"40.369123,-111.981654",yellow
"40.369150,-111.981673",yellow
"40.369181,-111.981695",yellow
,red
"40.369212,-111.981720",red
"40.369237,-111.981740",red
"40.369261,-111.981759",red
,yellow
"40.369287,-111.981776",yellow
,red
"40.369307,-111.981797",red
,yellow
"40.369332,-111.981817",yellow
"40.369351,-111.981832",yellow
"40.369370,-111.981847",yellow
"40.369392,-111.981862",yellow
"40.369416,-111.981875",yellow
,red
"40.369440,-111.981893",red
,yellow
"40.369465,-111.981913",yellow
"40.369486,-111.981933",yellow
"40.369507,-111.981951",yellow
"40.369528,-111.981970",yellow
"40.369551,-111.981989",yellow
